# mod_mcl_tau2 with P: 7, V1: 1 and V2: 7 steps.
# Array shape: (7, 1, 7)
# x: P (400-2200), y: V1 (700-700), z(slices): V2 (175-295)
# z: V2 [175. 195. 215. 235. 255. 275. 295.]
# y: V1 [700.]
# x: P [ 400.  700. 1000. 1300. 1600. 1900. 2200.]
# V2 slice 175.0V
3.099160808898730465e+03;4.099804386671905377e+03;4.900203495624909010e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 195.0V
3.419220801405199836e+03;4.523203959068565382e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 215.0V
4.436242662988686789e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 235.0V
5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 255.0V
3.734325187844455741e+03;4.910445921294752225e+03;4.934951068656026109e+03;4.977897361887426996e+03;5.000000000000000000e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 275.0V
2.570145231231280377e+03;3.399982557578282922e+03;4.063756424055485695e+03;4.866794722464601364e+03;4.929458994469213394e+03;5.000000000000000000e+03;5.000000000000000000e+03
# V2 slice 295.0V
2.033490256878623995e+03;2.690054756586845542e+03;3.215230405748665362e+03;3.665926694666159619e+03;4.834244600265089502e+03;4.942096016084645271e+03;5.000000000000000000e+03
