# mod_mcl_phi with P: 7, V1: 1 and V2: 7 steps.
# Array shape: (7, 1, 7)
# x: P (400-2200), y: V1 (700-700), z(slices): V2 (175-295)
# z: V2 [175. 195. 215. 235. 255. 275. 295.]
# y: V1 [700.]
# x: P [ 400.  700. 1000. 1300. 1600. 1900. 2200.]
# V2 slice 175.0V
7.825381012369156224e+02;1.035200600015359669e+03;1.237301387739860047e+03;6.822744977935875568e+02;8.800281114869814019e+02;1.105549631341066970e+03;1.375422397637235918e+03
# V2 slice 195.0V
5.712541051270017078e+02;7.556981479719211166e+02;5.169913572799159738e+02;6.052666942123186118e+02;7.690538260074093841e+02;9.553050732311372713e+02;1.167337193066548934e+03
# V2 slice 215.0V
3.621875193462213929e+02;3.137291681891912845e+02;4.214723377605945984e+02;5.372989073141637846e+02;6.837246698885579690e+02;8.430399456701239842e+02;1.019399745011679329e+03
# V2 slice 235.0V
1.388552871428249205e+02;2.486098568850236177e+02;3.639965380913810691e+02;4.859831042243562251e+02;6.158510390547362476e+02;7.553594821685160241e+02;9.070393154707426220e+02
# V2 slice 255.0V
0.000000000000000000e+00;1.837919054656003937e+02;3.009564269637658640e+02;4.326900396990463378e+02;5.604689704083793913e+02;6.847205501139667376e+02;8.181265311602684278e+02
# V2 slice 275.0V
0.000000000000000000e+00;-0.000000000000000000e+00;0.000000000000000000e+00;3.427235541723378560e+02;4.794088591590706301e+02;6.264655915053525632e+02;7.457137376874885604e+02
# V2 slice 295.0V
0.000000000000000000e+00;0.000000000000000000e+00;-0.000000000000000000e+00;0.000000000000000000e+00;3.941794931895378227e+02;5.487975654736555953e+02;6.854466945418236037e+02
